id,ctry,cit,reg,name,url,stat,date,prfs,lat,lon,prts,traf,avg,trgh,ipv6_avg,pch,updt,tc_rank,tw_rank,pc_rank,pr_rank,pw_rank,tr_rank,prts_url,q9,iata,regct
2,Argentina,"Buenos Aires","Latin America","CABASE IXP Buenos Aires",https://ixp.cabase.org.ar/ixp-buenos-aires.php,Active,19980401,44475,-34.57000,-58.42000,180,4000000000,2100000000,1800000000,0.000000,Yes,2015-02-15,1,32,1,10,91,5,https://ixp.cabase.org.ar/ixp-buenos-aires.php,No,EZE,143
8,Australia,Melbourne,Asia-Pacific,"IX Australia (Melbourne VIC)",https://www.ix.asn.au,Active,20110000,0,-37.82000,144.97000,108,165000000,87000000,39000000,0.000000,No,2021-08-03,12,274,7,39,148,66,https://internet.asn.au/about-us/peers-and-partners/,No,,190
9,Australia,Perth,Asia-Pacific,"IX Australia (Perth WA)",https://www.ix.asn.au,Active,19970600,942004,-31.93000,115.95000,82,86000000,35900000,13000000,0.000000,Yes,2021-08-03,13,323,8,49,191,75,https://internet.asn.au/about-us/peers-and-partners/,Yes,PER,190
12,Australia,Sydney,Asia-Pacific,"Equinix Internet Exchange Sydney",https://www.equinix.com/resources/data-sheets/equinix-internet-exchange/,Active,20030000,1251172,-33.95000,151.17999,238,472536728,452148817,448905835,0.000000,Yes,2026-08-25,5,193,2,15,57,41,https://ix.equinix.com/home/locations-and-traffic/,Yes,SYD,190
14,Austria,Graz,Europe,"Grazer Internet Exchange",http://www.grax.at/,Active,20100304,0,47.07030,15.43890,14,36400,0,0,0.000000,No,2017-04-03,5,620,6,235,557,233,http://www.grax.at/,No,,337
15,Austria,Vienna,Europe,"Vienna Internet Exchange",https://www.vix.at/en/,Active,19960400,1562049,48.20000,16.37000,187,1019500000,886500000,698000000,6.373380,Yes,2022-02-28,1,132,1,44,86,40,https://www.vix.at/en/participants-partners/participants,Yes,VIE,337
16,Bangladesh,Dhaka,Asia-Pacific,"Bangladesh Internet Exchange",http://www.bdix.net/,Active,20040826,41505,23.77000,90.38000,124,641509309399,1059901478,72412829616,0.000000,Yes,2026-08-25,1,1,2,32,128,1,http://bdix.net/members/,Yes,DAC,190
17,Belgium,Brussels,Europe,"Belgian National Internet Exchange",https://bnix.net/,Active,19950000,758259,50.90000,4.53000,82,899070616,591939962,236574500,50.000000,Yes,2026-08-25,1,115,1,88,191,35,https://ixpmanager.bnix.net/customer/details,No,BRU2,337
19,Brazil,"Belo Horizonte","Latin America","IX.br (PTT.br) Belo Horizonte",http://ix.br/,Active,20060000,0,-19.63000,-43.97000,120,349390000,222650000,120000000,0.000000,No,2022-02-28,9,212,11,13,132,47,https://ix.br/particip/mg,No,,143
20,Brazil,Brasília,"Latin America","IX.br (PTT.br) Brasília",https://ix.br,Active,20040700,0,-15.78000,-47.93000,279,892000000,619000000,400000000,0.000000,No,2022-02-28,6,140,5,5,44,37,http://ix.br/particip/df,No,,143
29,Brazil,"São Paulo","Latin America","Equinix Internet Exchange São Paulo",https://ix.equinix.com/home/,Active,19980000,0,-23.62000,-46.65000,204,1315674120,1302076290,1296438391,0.000000,No,2026-08-25,4,116,8,8,76,34,https://ix.equinix.com/home/locations-and-traffic/#traffic,No,,143
30,Brazil,"São Paulo","Latin America","IX.br (PTT.br) São Paulo",http://ix.br,Active,20040700,974398,-23.62000,-46.65000,2690,21900000000,17210000000,15000000000,0.000000,Yes,2022-02-28,1,5,1,1,1,1,https://ix.br/particip/sp,No,GRU,143
39,Canada,Toronto,"North America","Toronto Internet Exchange",https://www.torix.ca/,Active,19980724,789586,43.67000,-79.40000,286,2860000000,2067000000,1600000000,0.000000,Yes,2022-02-28,1,71,1,5,41,6,https://www.torix.ca/peers/,Yes,YYZ,157
41,Chile,Santiago,"Latin America","NAP Chile",http://www.nap.cl/,Active,19970900,0,-33.38000,-70.78000,21,0,0,0,0.000000,No,0000-00-00,4,649,2,56,451,127,http://www.nap.cl/f_proveedores.html,No,,143
49,Colombia,Bogotá,"Latin America","NAP Colombia",https://www.nap.co,Active,20000629,0,4.70000,-74.13000,24,0,0,0,0.000000,No,2020-09-21,8,649,3,53,418,127,https://www.nap.co/miembros/,No,,143
51,Croatia,Zagreb,Europe,"Croatian Internet Exchange",https://www.cix.hr/,Active,20010300,769818,45.82000,16.03000,46,353363018,221056458,84330742,49.997670,Yes,2026-08-25,1,185,1,129,296,64,https://www.cix.hr/clanice/clanice,Yes,ZAG,337
53,Cyprus,Lefkosia,Europe,"Cyprus Internet Exchange",https://cynet.ac.cy/cyix/,Active,19990000,0,35.17000,33.37000,16,10000,0,0,0.000000,No,0000-00-00,1,625,1,218,517,236,https://cynet.ac.cy/members/,No,,337
54,"Czech Republic",Brno,Europe,"Brno Internet Exchange Point",http://www.br-ix.cz/,Active,0,0,49.15000,16.70000,8,75000000,0,12000000,0.000000,No,2022-02-28,4,332,4,282,694,121,,No,,337
55,"Czech Republic",Prague,Europe,"NIX.CZ - Neutral Internet eXchange for the Czech Republic",https://www.nix.cz/cs,Active,19960831,0,50.08000,14.43000,206,2880000000,1750000000,594000000,0.000000,No,2020-03-27,2,70,2,38,74,17,https://www.nix.cz/en/networks,No,,337
56,Denmark,Copenhagen,Europe,"Danish Internet Exchange",http://www.dix.dk/,Active,19940500,0,55.67000,12.57000,29,211002034,112102484,37874469,49.658700,No,2026-08-25,2,253,2,165,380,87,https://portal.dix.dk/customer/details,No,,337
57,Ecuador,Guayaquil,"Latin America","NAP Ecuador - Guayaquil",https://aeprovi.org.ec/ixp/,Active,20030000,0,-2.15000,-79.88000,13,253000000,123000000,27000000,0.000000,No,2026-03-17,1,232,3,77,578,52,https://aeprovi.org.ec/ixp/topologia/,No,,143
