id,name,rfs,rfs_year,is_planned,status,length_raw,length_km,owners,suppliers,url,landing_point_count,notes
barat-timur-indonesia-2-bti-2,Barat Timur Indonesia-2 (BTI-2),,,True,planned,"11,600 km",11600.0,Super Sistem (PT Super Sistem Data),,,10,
la-gomera-el-hierro,La Gomera-El Hierro,,,False,active,,,Telefonica,,,2,
project-waterworth,Project Waterworth,,,True,planned,"50,000 km",50000.0,Meta,,https://about.meta.com/,9,
tenerife-la-palma,Tenerife-La Palma,,,False,active,,,Telefonica,,,2,
rnne-rdvig,Rønne-Rødvig,1989,1989,False,active,153 km,153.0,TDC Group,,,2,
almera-melilla-alme,Almería-Melilla (ALME),1990,1990,False,active,198 km,198.0,Telefonica,Nexans,https://www.telefonica.com/,2,
bt-mt-1,BT-MT-1,1990,1990,False,active,80 km,80.0,"BT, Manx Telecom",,,2,
transcan-2,TRANSCAN-2,1990,1990,False,active,238 km,238.0,Telefonica,,,4,
apocs-1,APOCS 1,1991,1991,False,active,,,Bell Canada,,https://www.bce.ca/,2,
penbal-4,Penbal-4,1991,1991,False,active,317 km,317.0,Telefonica,,,3,
corse-continent-4-cc4,Corse-Continent 4 (CC4),1992,1992,False,active,190 km,190.0,Orange,ASN,,2,
finland-estonia-2-eesf-2,Finland-Estonia 2 (EESF-2),1992,1992,False,active,98 km,98.0,"Arelion, Telia Eesti (formerly Eesti Telekom, EMT, Elion)",,,2,
lanis-1,Lanis-1,1992,1992,False,active,113 km,113.0,Vodafone,,,2,
lanis-2,Lanis-2,1992,1992,False,active,67 km,67.0,Vodafone,,,2,
lanis-3,Lanis-3,1992,1992,False,active,122 km,122.0,Vodafone,,,2,
taino-carib,Taino-Carib,1992 January,1992,False,active,187 km,187.0,"AT&T, Altice USA, CANTV, Cogent, Embratel, Liberty Networks, Orange, Setar",AT&T SSI,,3,
uae-iran,UAE-Iran,1992,1992,False,active,170 km,170.0,"Telecommunication Infrastructure Company of Iran, e&",ASN,,2,
turcyos-1,Turcyos-1,1993,1993,False,active,110 km,110.0,Turk Telekom,ASN,,2,
aden-djibouti,Aden-Djibouti,1994,1994,False,active,269 km,269.0,"Djibouti Telecom, Orange, Sparkle, Tata Communications, TeleYemen",ASN,https://www.teleyemen.com.ye/,2,
americas-i-north,Americas-I North,1994 September,1994,False,active,"2,012 km",2012.0,AT&T,SubCom,,2,
botnia,Botnia,1994,1994,False,active,93 km,93.0,Arelion,ASN,,2,
cantat-3,CANTAT-3,1994 November,1994,False,active,270 km,270.0,Shefa,ASN,http://www.shefa.fo,4,
columbus-ii-b,Columbus-II b,1994 December,1994,False,active,"2,068 km",2068.0,"AT&T, Setar",SubCom,,2,
denmark-sweden-17,Denmark-Sweden 17,1994,1994,False,active,11 km,11.0,"TDC Group, Tele2",,,2,
est-tet,Est-Tet,1994 July,1994,False,active,113 km,113.0,"Maroc Telecom, Telxius",STC Submarine Systems,,2,
finland-estonia-3-eesf-3,Finland-Estonia 3 (EESF-3),1994,1994,False,active,104 km,104.0,"Arelion, Telia Eesti (formerly Eesti Telekom, EMT, Elion)",,,2,
globalconnect-denmark-sweden,GlobalConnect Denmark-Sweden,1994,1994,False,active,,,GlobalConnect,,,2,
guernsey-jersey-4,Guernsey-Jersey-4,1994 January,1994,False,active,36 km,36.0,Sure,,,2,
hawaii-inter-island-cable-system-hics,Hawaii Inter-Island Cable System (HICS),1994 July,1994,False,active,479 km,479.0,Hawaiian Telcom,,,5,
italy-croatia,Italy-Croatia,1994,1994,False,active,230 km,230.0,"Hrvatski Telekom, Sparkle",,,2,
italy-malta,Italy-Malta,1994,1994,False,active,238 km,238.0,"GO plc, Sparkle",ASN,,2,
latvia-sweden-1-lv-se-1,Latvia-Sweden 1 (LV-SE 1),1994,1994,False,active,304 km,304.0,"Tele2, Tet",,,2,
penbal-5,Penbal-5,1994,1994,False,active,315 km,315.0,Telefonica,,,2,
tegopa,TEGOPA,1994,1994,False,active,222 km,222.0,Telefonica,,,3,
uk-channel-islands-7,UK-Channel Islands-7,1994 January,1994,False,active,124 km,124.0,"BT, Sure",,,2,
uk-channel-islands-8,UK-Channel Islands-8,1994 January,1994,False,active,237 km,237.0,BT,,,2,
apocs-2,APOCS 2,1995,1995,False,active,,,Bell Canada,,https://www.bce.ca/,4,
antigua-st-kitts,Antigua-St.Kitts,1995,1995,False,active,14 km,14.0,Liberty Networks,ASN,https://libertynet.com,2,
bcs-east,BCS East,1995,1995,False,active,97 km,97.0,Arelion,Ericsson,,2,
bass-strait-1,Bass Strait-1,1995,1995,False,active,241 km,241.0,Telstra,ASN,,2,
cadmos,CADMOS,1995 September,1995,False,active,230 km,230.0,"A1 Telekom Austria, AT&T, Cyta, Deutsche Telekom, Lebanese Ministry of Telecommunications, Orange, Sparkle, Syrian Telecommunications Establishment, Tata Communications",SubCom,,3,
corse-continent-5-cc5,Corse-Continent 5 (CC5),1995,1995,False,active,299 km,299.0,Orange,ASN,,2,
eastern-caribbean-fiber-system-ecfs,Eastern Caribbean Fiber System (ECFS),1995 September,1995,False,active,"1,335 km",1335.0,"AT&T, Claro Dominicana (Codetel), Guyana Telephone and Telegraph (GT&T), Liberty Networks, Orange, Verizon",ASN,,13,
italy-greece-1-ig-1,Italy-Greece 1 (IG-1),1995,1995,False,active,169 km,169.0,WIS Telecom,,http://www.wis.one,2,
italy-monaco,Italy-Monaco,1995,1995,False,active,162 km,162.0,"Monaco Telecom, Sparkle",Prysmian,,2,
sweden-estonia-ee-s-1,Sweden-Estonia (EE-S 1),1995 June,1995,False,active,240 km,240.0,"Arelion, GN Great Nordic, Telia Eesti (formerly Eesti Telekom, EMT, Elion)",ASN,,3,
ugarit,UGARIT,1995 February,1995,False,active,239 km,239.0,"A1 Telekom Austria, AT&T, BT, Cyta, Deutsche Telekom, Lebanese Ministry of Telecommunications, Orange, Singtel, Sparkle, Syrian Telecommunications Establishment, Tata Communications, Telefonica, Vivacom",SubCom,,2,
unisur,Unisur,1995 March,1995,False,active,265 km,265.0,"Antel Uruguay, Telxius",ASN,,2,
adria-1,Adria-1,1996 September,1996,False,active,440 km,440.0,"ALBtelecom, Hrvatski Telekom",ASN,,3,
bugio,BUGIO,1996 July,1996,False,active,73 km,73.0,Altice Portugal,,,2,
brazilian-festoon,Brazilian Festoon,1996,1996,False,active,"2,552 km",2552.0,Embratel,,http://www.embratel.com.br,14,
denmark-sweden-18,Denmark-Sweden 18,1996,1996,False,active,,,"TDC Group, Telenor",,,2,
izu-islands-cable-system,Izu Islands Cable System,1996,1996,False,active,,,NTT,,,4,
jeju-mainland-2,Jeju-Mainland 2,1996,1996,False,active,191 km,191.0,KT,NEC,,2,
romsar-2,ROMSAR 2,1996,1996,False,active,,,Sparkle,,,4,
les-dhyres-cable,Îles d'Hyères Cable,1996,1996,False,active,45 km,45.0,Orange,ASN,,5,
aletar,Aletar,1997 April,1997,False,active,787 km,787.0,"Liban Telecom, Syrian Telecommunications Establishment, Telecom Egypt",ASN,,2,
antillas-1,Antillas 1,1997 June,1997,False,active,601 km,601.0,"Altice Dominicana, Antelecom, Claro Dominicana (Codetel), Liberty Networks, Setar",SubCom,,3,
bcs-east-west-interlink,BCS East-West Interlink,1997 November,1997,False,active,218 km,218.0,Arelion,Ericsson,,2,
berytar,BERYTAR,1997 April,1997,False,active,134 km,134.0,"Lebanese Ministry of Telecommunications, Syrian Telecommunications Establishment",ASN,,4,
bahamas-2,Bahamas 2,1997 June,1997,False,active,476 km,476.0,Bermuda Telephone Company (BTC),SubCom,,3,
baltica,Baltica,1997 March,1997,False,active,437 km,437.0,"Arelion, Orange Polska, Slovak Telekom, TDC Group, Telenor, Ukrtelecom",,,4,
